date,open,high,low,close,volume
11/13/17,41413.79,41413.79,41141.85,41239.89,87442784
11/14/17,41202.55,41316.74,40899.5,40943.78,140084688
11/15/17,40814.42,40943.78,40585.54,40662.79,90373680
11/16/17,40698.53,40886.03,40685.56,40813.31,96709456
11/17/17,40832.14,40910.17,40637.15,40844.4,115620928
11/20/17,40843.94,40923.09,40260.05,40316.93,94109904
11/21/17,40353.11,40603.55,40271.53,40548.83,101799664
11/22/17,40643.09,40741.91,40465.52,40591.87,156986432
11/23/17,40626,40712.65,40136.86,40266.21,101839824
11/24/17,40276.63,40368.35,40082.7,40248.41,106330784
11/27/17,40152.72,40248.41,39932.93,40032.17,110952784
11/28/17,40060.49,40125.75,39564.27,39634.13,113001368
11/29/17,39647.23,39760.5,39462.71,39672.89,114913584
11/30/17,39706.17,40091.48,39672.89,40010.36,180780064
12/4/17,40048.76,40131.37,39931.52,40049.8,96654960
12/5/17,40072.17,40084.97,39892.34,39945.41,147302768
12/6/17,39960.06,40062.62,39825.23,39907.32,149572976
12/7/17,39880.82,39907.32,38769.09,38784.66,163266720
12/8/17,38645.26,39339.65,38431.78,39080,149528272
12/11/17,39059.48,39437.43,38374.73,38481.7,129421648
12/12/17,38504.71,38620.66,37736.73,38525.11,195490880
12/13/17,38588.04,38884.89,38525.11,38819.65,117709808
12/14/17,38825.74,38825.74,38126.85,38223.55,92946144
12/15/17,38214.21,38924.25,38192.7,38645.9,139767392
12/18/17,38660.09,38703.15,38337.37,38383.97,50045760
12/19/17,38418.88,38443.12,37768.25,37919.42,108555280
12/20/17,38418.88,38323.55,37842.52,38208.06,129652648
12/21/17,38216.76,38793.99,38014.84,38715.77,179631024
12/22/17,38770.46,39525.21,38710.53,39428.21,222856640
12/26/17,39524.24,39719.13,39293.37,39525.75,178175056
12/27/17,39614.37,40160.47,39525.75,40146.73,199343008
12/28/17,40235.08,40463.66,40031.34,40371.31,239587536
12/29/17,40400.82,40644.74,40271.18,40471.48,240969616
1/1/18,40470.44,40815.96,40169.62,40711.04,118261640
1/2/18,40676.19,41566.76,40566.76,41486.87,229369008
1/3/18,41539.93,41819.75,41289.17,41544.27,233607584
1/4/18,41600.4,41995.66,41544.27,41908.71,222352304
1/5/18,41876.62,42584.96,41821.85,42523.99,260949920
1/8/18,42634.49,43256.57,42523.99,43112.12,270611904
1/9/18,43188.71,43251.4,42566.51,42814.34,225340448
1/10/18,43188.71,43659.45,42814.34,43630.74,327761824
1/11/18,43693.6,43824.02,43140.94,43395.28,319451136
1/12/18,43426.86,43436.2,42754.3,42933.72,238673328
1/15/18,42891.16,42933.72,42270.38,42347.49,130479992
1/16/18,42358.99,43142.59,42324.27,42939.68,160883232
1/17/18,42936.43,43386.27,42874.39,43358.97,151337728
1/18/18,43626.06,44004.13,43192.75,43580.88,268457344
1/19/18,43647.33,44203.13,43580.88,44178.83,209472080
1/22/18,44225.24,44951.21,44121.97,44897.69,294354016
1/23/18,44955.96,44970.78,44465.31,44907.2,226443504
1/24/18,45037.35,45494.52,44781.83,45063.21,339671584
1/25/18,45091.24,45179,44729.81,44816.71,245726176
1/26/18,44825.78,44825.78,44196.57,44551.13,270755680
1/29/18,44724.44,44855.77,44337.72,44457.3,192333264
1/30/18,44492.11,44615.1,44081.23,44233.11,282480512
1/31/18,44252.94,44533.76,43996.42,44049.05,288592960
2/1/18,44103.07,44436.39,44103.07,44255.48,228317616
2/2/18,44341.88,44637.02,44252.88,44301.2,284372672
2/6/18,43965.88,43965.88,43498.24,43885.51,237956016
2/7/18,44039.51,44299.87,44039.51,44096.49,269986048
2/8/18,44079.12,44151.54,43629.82,43679.87,246018064
2/9/18,43533.11,43826.6,43286.24,43808.8,225631888
2/12/18,43795.2,43900.2,43461.23,43515.08,215319504
2/13/18,43582.09,43878.33,43548.81,43690.36,203686864
2/14/18,43675.68,43781.77,43215.72,43353.04,206987808
2/15/18,43377.08,43451.31,42859.85,42942.35,219482848
2/16/18,42916.87,43691.28,42916.87,43627.1,148358064
2/19/18,43703.89,43945.62,43512.09,43572.67,126714720
