ticker,mkt,previous_close,open,high,low,close,,change,,,volume
HUBC-AUG,Reg,301.29,303,303,290,146.66,-,-5.3,32,1709,"505,461.06"
HUMNL,Reg,710.22,717.8,717.8,711,148.12,+,0.78,16,49,"34,962.59"
HUMNL-AUG,Reg,2.67,2.6,2.77,2.6,9.54,-,-0.02,171,88690,"241,871.40"
HUSI,Reg,68.03,68.8,69,68,9.62,-,-0.03,38,62883,"4,276,897.15"
HWQS,Reg,1600,1600,1600,1600,25.29,#ERROR!,0,3,280,"448,000.00"
IBFL,Reg,10.4,10.59,11.25,10.5,9.1,+,0.6,34,14094,"154,135.44"
IBLHL,Reg,35.69,35.7,36.65,35.7,350,+,0.31,717,1278275,"46,380,416.04"
ICCI,Reg,163.94,164,169.7,163,30.88,+,3.56,5721,7117283,"1,195,505,637.34"
ICIBL,FUT,166.75,166,172.48,166,7.27,+,3.25,678,1040000,"177,413,510.00"
ICL,FUT,164.45,164,170,163.35,1.32,+,3.15,487,931500,"156,411,900.00"
IDYM,Reg,10.79,10.81,11.08,10.76,44.75,+,0.03,1447,14139876,"154,556,342.01"
IGIHL,FUT,10.96,11,11.3,11,111.23,+,0.04,256,1065000,"11,852,060.00"
IGIL,FUT,10.82,10.9,11.1,10.8,176,+,0.08,432,2013000,"22,083,265.00"
ILP,Reg,8.54,8.45,8.8,8.45,16.03,-,-0.01,4,1223,"10,409.13"
ILP-AUG,Reg,31.64,31.9,32.5,31.5,70.77,-,-0.14,42,44972,1439719.78
IMAGE,Reg,6.62,7.2,7.62,6.61,71.82,+,1,86,299996,2130753.91
IML,Reg,1.44,1.55,1.55,1.42,16.05,+,0.05,6,1196,"1,710.17"
INDU,Reg,45,45,45.89,44.25,19.69,+,0.8,31,22426,"1,013,602.82"
INIL,Reg,122.79,120.6,124.95,120.5,1710.88,-,-1.69,15,10971,"1,357,297.45"
INIL-AUG,Reg,123.39,123.01,123.2,123,181,-,-0.34,8,38351,"4,713,549.91"
INKL,Reg,71.48,71.83,72.7,70.5,183,-,-0.1,1518,1468023,"104,823,690.37"
IPAK,FUT,72.63,72.5,73.35,71.8,15.5,-,-0.13,49,63500,"4,611,990.00"
ISIL,FUT,71.84,71.05,73.74,70.5,22.16,-,-0.34,53,46000,"3,294,755.00"
ISL,Reg,13.06,13.09,13.2,13.03,1539.47,-,-0.01,47,50485,"663,476.19"
ISL-AUG,Reg,1589,1590,1590,1581.05,81.04,#ERROR!,0,21,89,"141,165.97"
ITTEFAQ,Reg,191.05,192,194.5,190.02,81.67,+,2.1,327,195665,"37,863,776.63"
JATM,FUT,195,195.55,197.55,195.55,5.55,+,2,244,251000,"49,509,995.00"
JDMT,FUT,191.37,193,194.9,193,98.86,+,2.29,273,271500,"52,766,880.00"
JDWS,Reg,24.21,24.2,24.2,24.1,90.66,-,-0.11,15,7578,"182,849.65"
JGICL,Reg,1388.94,1400,1400,1350,509.93,+,9.06,7,19,"25,947.41"
JKSM,Reg,84.93,85,87,85,42.37,+,1.07,531,774645,"66,839,889.66"
JLICL,FUT,86,87,88.32,87,51.45,+,1.85,106,216500,"19,005,300.00"
JSBL,FUT,85.1,86.49,87.95,85.99,128.05,+,1.4,73,48500,"4,196,450.00"
JSBL-AUG,Reg,6.03,6.1,6.15,6.01,10.06,+,0.02,67,214960,"1,300,504.01"
JSCL,Reg,62.57,63.48,63.48,63.48,10.2,+,0.91,1,1,63.48
JSCLPSA,Reg,481.22,500,500,493.86,16.51,+,12.64,5,196,"97,389.68"
JSIL,Reg,46,45.98,45.98,45.5,7.75,-,-0.5,4,626,"28,724.48"
JSMFETF,Reg,128.05,128.01,128.01,128,15.71,-,-0.05,2,1000,"128,001.00"
JSML,Reg,9.25,9.38,9.38,9.19,16.12,-,-0.05,14,91100,"838,128.00"
JUBS,FUT,9.27,9.37,9.37,9.37,17.71,+,0.1,1,500,"4,685.00"
JVDC,FUT,9.39,9.23,9.23,9.2,12.1,-,-0.19,2,20500,"188,615.00"
KAPCO,Reg,18.22,18.58,18.6,17.85,47.21,-,-0.32,43,137550,"2,481,517.60"
KAPCO-AUG,Reg,7.67,7.06,7.06,7.06,29.13,-,-0.61,2,3680,"25,954.00"
KCL,Reg,18.75,18.77,18.77,18.77,29.46,+,0.02,1,500,"9,385.00"
KEL,Reg,194.33,211.82,211.82,200,49,+,5.67,3,16,"3,211.82"
KEL-AUG,Reg,16,16,16,16,4.04,#ERROR!,0,8,7200,"115,240.00"
KHTC,Reg,19.26,19.56,19.56,19.45,4.1,+,0.19,4,15000,"292,550.00"
KHYT,Reg,12.11,12.62,12.7,12.62,313.13,+,0.59,2,202,"2,549.40"
KOHC,Reg,35.39,35.2,35.25,35.2,569.19,-,-0.17,3,1500,"52,835.00"
KOHE,Reg,32.75,32.75,32.99,32.61,240.71,+,0.05,211,806684,"26,419,782.34"
KOHP,FUT,33.5,33.39,33.4,33,29.92,-,-0.3,11,437500,"14,585,195.00"
KOHTM,FUT,32.8,32.79,33,32.79,7.95,+,0.02,9,436500,"14,329,305.00"
KOIL,Reg,4.43,4.45,4.69,4.45,19,+,0.14,1712,20283727,93614433.12
KOSM,FUT,12.45,12.45,12.45,12.45,10.14,+,0.14,432,2995500,"14,065,960.00"
KOSM-AUG,FUT,4.44,4.47,4.7,4.47,9.32,+,0.18,370,3580000,"16,506,660.00"
